date,dollar,CRISE,r_vol,r_oil,r_PETR4,r_PETROBRAS,ma24,macd,macdhist,bbands,rsi_dummy,atr_dummy,target_value,target_class,sentimento
2022-04-06 15:00:00,0.00014875828379956602,50.0,7683400.0,0.005996011387697342,18.0,34.0,-0.0013642908791073882,-0.1316305376848277,-0.0337626806081855,1,0,0,0.0006194009661379,1.0,-0.128
2022-04-06 16:00:00,0.0015086385514799794,63.0,4780900.0,-0.0017469753695448231,18.0,29.0,-0.0014682946163137034,-0.1323516571297034,-0.027587040042449,1,0,0,0.0266170460879402,1.0,0.991
2022-04-07 10:00:00,0.007489340108506992,35.0,0.0,0.00020593239228561266,1.0,7.0,2.5568865928304874e-05,-0.0628046227721554,0.0335679954520791,0,0,1,0.0045222048284385,1.0,0.4588
2022-04-07 11:00:00,0.0030955704664021866,47.0,17996000.0,-0.008336817182564293,1.0,23.0,0.0002557260198958744,0.0043654503447214,0.0805904548551648,0,0,0,-0.0021008311964387,0.0,0.25
2022-04-07 12:00:00,-0.0003568720748252652,68.0,6528700.0,-0.005085603233310865,1.0,21.0,0.00025566064081794515,0.0513578060446775,0.1020662484440967,0,0,0,0.0030074729058975,1.0,0.5994
2022-04-07 13:00:00,-0.001764068107689476,55.0,9612100.0,-0.00511159879667944,9.0,26.0,0.0008817986494764618,0.0955669908557865,0.1170203466041646,0,0,0,0.0050975109871294,1.0,-0.4019
2022-04-07 14:00:00,-0.002482546584991141,62.0,13230400.0,0.0007339802118930816,30.0,31.0,0.0011747005583442327,0.1426761458461669,0.131303601275636,0,0,1,0.0107398748638196,1.0,0.1027
2022-04-07 15:00:00,-8.437548963424746e-05,64.0,19743500.0,0.007963060429535762,17.0,24.0,0.0017727322861764705,0.2066770863840972,0.156243633450853,0,0,1,0.0038369908299769,1.0,0.991
2022-04-07 16:00:00,-0.0004429332682410747,48.0,16330600.0,0.007276555091922932,11.0,29.0,0.0018841736229280315,0.2648351302533243,0.171521341856064,0,0,0,-0.0014701334762751,0.0,0.9896
2022-04-08 10:00:00,0.0078075924270730734,51.0,0.0,-0.005056737420573443,3.0,11.0,0.0018043866560892852,0.303393941949416,0.1680641228417246,0,0,0,0.0041224791938363,1.0,0.8934
2022-04-08 11:00:00,-0.005548623312424783,39.0,7884900.0,-0.006534642245430211,5.0,14.0,0.001712348552323384,0.3413143988120524,0.1647876637634888,0,0,0,0.0029326185716476,1.0,0.9153
2022-04-08 12:00:00,0.0002947665977639513,51.0,6088300.0,0.008352506389159853,4.0,16.0,0.0018360482777390885,0.3751119262447844,0.1588681529569766,0,0,0,0.0029239319266172,1.0,0.836
2022-04-08 13:00:00,-0.001452321451028693,42.0,6897900.0,0.0015531323569584199,21.0,20.0,0.0017694835799386688,0.4052937769980929,0.1512400029682281,0,0,0,-0.0005831037378584,0.0,0.6597
2022-04-08 14:00:00,-0.003330522634235833,47.0,7303300.0,0.0021709818793012037,30.0,29.0,0.0021700972936233853,0.422726315550193,0.1349380332162625,0,0,0,0.0017503318386129,1.0,-0.5423
2022-04-08 15:00:00,-0.004822124469808342,50.0,2964700.0,0.011450387687193198,17.0,18.0,0.0021905826341999113,0.4363533277774749,0.1188520363548356,0,0,0,-0.0026208547521252,0.0,0.3862
2022-04-08 16:00:00,0.0011263750211669699,39.0,8377200.0,-0.002039822247951628,13.0,23.0,0.00204761142828791,0.4348775750108942,0.0939010268706038,0,0,0,-0.0067153151017905,0.0,0.9697
2022-04-11 10:00:00,-0.001316117919792692,62.0,0.0,-0.03668877254852565,4.0,4.0,0.0018303067532043915,0.4104179468243671,0.0555531189472614,0,0,0,-0.0032334100197362,0.0,0.5994
2022-04-11 11:00:00,0.0014028914503998458,54.0,3669100.0,0.010502841516369932,1.0,11.0,0.0017018302398608132,0.3778023154043239,0.0183499900217746,0,0,0,0.0002948487637333,1.0,0.0
